Time resolution is 1 ps
Time = 1560 | serial_in = 1 | Internal stream_in = 00001111 | parity_out = 0
Time = 1565 | serial_in = 1 | Internal stream_in = 00001111 | parity_out = 1
Time = 1575 | serial_in = 1 | Internal stream_in = 00001111 | parity_out = 0
Time = 1585 | serial_in = 1 | Internal stream_in = 00001111 | parity_out = 1
Time = 1595 | serial_in = 1 | Internal stream_in = 00001111 | parity_out = 0
Time = 1600 | serial_in = 0 | Internal stream_in = 00001111 | parity_out = 0
Time = 1610 | serial_in = 0 | Internal stream_in = 00010000 | parity_out = 0
Time = 1650 | serial_in = 1 | Internal stream_in = 00010000 | parity_out = 0
Time = 1655 | serial_in = 1 | Internal stream_in = 00010000 | parity_out = 1
Time = 1660 | serial_in = 0 | Internal stream_in = 00010000 | parity_out = 1
Time = 1705 | serial_in = 0 | Internal stream_in = 00010000 | parity_out = 0
Time = 1710 | serial_in = 0 | Internal stream_in = 00010001 | parity_out = 0
Time = 1750 | serial_in = 1 | Internal stream_in = 00010001 | parity_out = 0
Time = 1755 | serial_in = 1 | Internal stream_in = 00010001 | parity_out = 1
Time = 1760 | serial_in = 0 | Internal stream_in = 00010001 | parity_out = 1
Time = 1790 | serial_in = 1 | Internal stream_in = 00010001 | parity_out = 1
Time = 1795 | serial_in = 1 | Internal stream_in = 00010001 | parity_out = 0
Time = 1800 | serial_in = 0 | Internal stream_in = 00010001 | parity_out = 0
Time = 1810 | serial_in = 0 | Internal stream_in = 00010010 | parity_out = 0
Time = 1850 | serial_in = 1 | Internal stream_in = 00010010 | parity_out = 0
Time = 1855 | serial_in = 1 | Internal stream_in = 00010010 | parity_out = 1
Time = 1860 | serial_in = 0 | Internal stream_in = 00010010 | parity_out = 1
Time = 1880 | serial_in = 1 | Internal stream_in = 00010010 | parity_out = 1
Time = 1885 | serial_in = 1 | Internal stream_in = 00010010 | parity_out = 0
Time = 1890 | serial_in = 0 | Internal stream_in = 00010010 | parity_out = 0
Time = 1910 | serial_in = 0 | Internal stream_in = 00010011 | parity_out = 0
Time = 1950 | serial_in = 1 | Internal stream_in = 00010011 | parity_out = 0
Time = 1955 | serial_in = 1 | Internal stream_in = 00010011 | parity_out = 1
Time = 1960 | serial_in = 0 | Internal stream_in = 00010011 | parity_out = 1
Time = 1980 | serial_in = 1 | Internal stream_in = 00010011 | parity_out = 1
Time = 1985 | serial_in = 1 | Internal stream_in = 00010011 | parity_out = 0
Time = 1995 | serial_in = 1 | Internal stream_in = 00010011 | parity_out = 1
Time = 2000 | serial_in = 0 | Internal stream_in = 00010011 | parity_out = 1
Time = 2005 | serial_in = 0 | Internal stream_in = 00010011 | parity_out = 0
Time = 2010 | serial_in = 0 | Internal stream_in = 00010100 | parity_out = 0
Time = 2050 | serial_in = 1 | Internal stream_in = 00010100 | parity_out = 0
Time = 2055 | serial_in = 1 | Internal stream_in = 00010100 | parity_out = 1
Time = 2060 | serial_in = 0 | Internal stream_in = 00010100 | parity_out = 1
Time = 2070 | serial_in = 1 | Internal stream_in = 00010100 | parity_out = 1
Time = 2075 | serial_in = 1 | Internal stream_in = 00010100 | parity_out = 0
Time = 2080 | serial_in = 0 | Internal stream_in = 00010100 | parity_out = 0
Time = 2110 | serial_in = 0 | Internal stream_in = 00010101 | parity_out = 0
Time = 2150 | serial_in = 1 | Internal stream_in = 00010101 | parity_out = 0
Time = 2155 | serial_in = 1 | Internal stream_in = 00010101 | parity_out = 1
Time = 2160 | serial_in = 0 | Internal stream_in = 00010101 | parity_out = 1
Time = 2170 | serial_in = 1 | Internal stream_in = 00010101 | parity_out = 1
Time = 2175 | serial_in = 1 | Internal stream_in = 00010101 | parity_out = 0
Time = 2180 | serial_in = 0 | Internal stream_in = 00010101 | parity_out = 0
